COUNTRY,ID,Neighbourhood,Government,Scientist,Journalist,Doctor and Nurses,Philantropist,Traditional Healers
United States,169533187,2,1,1,4,1,2,2
United States,181667048,1,2,2,2,1,1,2
United States,150827462,1,3,2,4,1,2,2
United States,175466051,1,3,2,4,1,1,2
United States,188785318,1,2,1,2,1,1,1
United States,161098819,1,1,2,99,1,3,1
United States,143306224,1,2,2,3,1,2,2
United States,127603226,1,2,2,3,1,2,2
United States,151616515,2,4,1,4,1,1,2
United States,113745700,1,1,1,3,1,99,1
United States,125507875,3,2,1,1,1,2,2
United States,193227602,1,3,1,2,1,1,2
United States,153430324,2,4,2,1,1,1,4
United States,153507506,2,2,3,4,2,2,2
United States,174260168,1,2,1,3,1,1,1
United States,131702109,3,3,1,1,1,1,2
United States,122737063,2,3,3,2,3,3,2
United States,189709484,4,2,2,4,2,2,3
United States,158329316,1,4,1,1,1,2,2
United States,183488917,99,2,2,3,2,3,2
United States,170030402,4,4,2,4,2,4,1
United States,163383768,1,3,2,3,2,3,2
United States,122509097,1,3,1,3,2,2,2
United States,162394862,2,3,3,4,2,2,2
United States,161144241,1,4,2,4,1,3,2
United States,179067332,4,4,1,4,1,2,2
United States,129725348,1,3,3,99,1,3,3
United States,156940630,2,4,1,2,1,2,99
United States,142297003,2,4,1,1,1,1,3
United States,195892737,1,3,2,3,2,2,1
United States,138455507,2,2,3,3,3,1,3
United States,174034582,2,2,3,4,3,4,4
United States,173976859,2,1,2,4,1,2,2
United States,207661615,1,2,2,3,1,2,2
United States,119233231,3,3,2,4,2,2,2
United States,181687757,1,3,1,2,1,1,99
United States,141558806,1,2,1,1,1,2,2
United States,182053250,1,3,1,1,1,1,1
United States,122634727,2,2,1,3,2,2,2
United States,198424237,2,3,2,2,2,2,4
United States,114722363,1,3,1,1,1,2,2
United States,148561400,1,3,1,2,1,2,4
United States,190749077,2,2,2,4,2,3,2
United States,155971406,1,2,1,4,1,1,1
United States,134795094,1,3,3,4,1,2,2
United States,156148469,1,1,1,2,1,2,2
United States,118658528,2,2,3,4,2,2,3
United States,190479342,1,3,1,1,1,1,2
United States,123925996,1,1,1,4,1,2,2
United States,189139185,1,2,1,3,1,1,3
United States,121087688,1,3,1,1,1,1,4
United States,116805792,1,1,1,1,1,1,2
United States,181470240,2,2,2,2,2,2,2
United States,181227614,1,1,1,3,1,1,2
United States,168718763,1,2,2,2,1,1,1
United States,193666261,1,2,1,1,1,1,2
United States,153381790,2,2,3,4,2,1,4
United States,140718084,1,1,2,2,2,2,2
United States,166990893,1,2,3,4,3,2,3
United States,174031009,2,4,2,3,2,3,2
United States,188064256,1,1,2,4,3,1,2
United States,137635497,3,2,2,3,2,2,99
United States,199254664,1,1,1,2,1,2,2
United States,137652159,2,2,2,2,2,2,2
United States,136563699,3,3,1,2,2,2,2
United States,118729407,2,2,2,3,2,2,2
United States,196784654,1,2,1,1,1,2,2
United States,206716026,2,3,2,3,2,2,2
United States,144958765,1,1,1,4,1,99,4
United States,115778581,1,3,1,1,1,2,99
United States,133973415,1,2,2,3,1,2,2
United States,165812936,1,3,1,2,1,1,2
United States,208064747,3,3,2,4,2,3,2
United States,189882818,2,2,3,4,1,1,4
United States,120588212,2,2,1,2,1,1,2
United States,191944641,1,2,1,1,1,2,2
United States,158637836,1,1,2,4,1,2,4
United States,140644834,2,3,2,3,3,2,2
United States,209841269,1,2,1,2,1,1,1
United States,204801324,1,2,3,4,1,3,3
United States,161744612,2,2,3,4,1,1,3
United States,187420475,2,2,2,3,1,2,2
United States,173038841,1,3,2,4,2,2,1
United States,121559065,2,3,1,3,1,2,3
United States,166048358,2,1,2,3,1,3,2
United States,206074852,2,3,2,3,2,2,2
United States,141197053,1,4,1,99,1,2,1
United States,197063564,2,4,2,3,2,2,2
United States,209558377,4,1,1,1,1,2,1
United States,132091384,4,4,2,99,4,2,4
United States,129102665,3,3,1,3,1,1,3
United States,111407581,2,2,1,2,1,1,2
United States,160750071,2,2,2,2,2,2,99
United States,167532380,2,2,1,2,1,2,2
United States,156194066,2,4,2,2,2,2,4
United States,184405265,1,2,1,3,1,1,2
United States,125959637,2,1,1,4,1,2,2
United States,205507640,3,2,2,4,2,2,2
United States,202710233,1,2,2,3,1,2,3
United States,148184990,2,2,3,2,3,2,3
United States,171867069,2,2,2,4,1,2,2
United States,160215835,2,2,1,1,1,2,2
United States,177896001,2,3,2,2,2,2,2
United States,196750577,2,2,1,3,1,2,2
United States,157690072,1,1,1,2,1,1,99
United States,143515331,1,3,1,2,1,1,2
United States,129487813,1,2,1,3,1,2,2
United States,193771171,1,4,1,2,1,2,2
United States,204036207,4,2,1,3,1,2,2
United States,172724329,1,1,2,3,1,1,2
United States,182183021,1,3,1,2,1,1,2
United States,158891559,4,4,2,2,2,2,2
United States,200259987,2,4,1,1,1,1,2
United States,142852887,2,3,1,2,1,2,2
United States,192249592,2,2,1,2,1,2,2
United States,145600453,1,2,1,2,1,1,2
United States,124361220,1,1,2,2,1,2,2
United States,159321830,1,2,1,4,1,2,3
United States,134309402,1,3,2,1,1,2,2
United States,150075939,2,2,2,2,1,2,3
United States,174337497,2,3,1,2,1,2,3
United States,186356837,2,3,1,1,2,2,1
United States,157589439,1,1,2,4,1,1,1
United States,146036003,1,2,2,3,1,2,2
United States,200601920,1,3,2,3,2,1,2
United States,203738067,2,3,1,2,1,1,3
United States,119595293,2,2,1,1,2,2,1
United States,142668911,2,2,2,2,2,2,2
United States,114278404,2,99,1,2,1,2,99
United States,161601837,1,3,1,1,1,1,2
United States,120476199,1,3,1,2,2,2,3
United States,177962008,1,3,1,1,1,1,3
United States,205314112,1,4,1,1,1,1,3
United States,195967952,2,2,1,2,1,1,2
United States,200054340,2,3,99,1,1,1,99
United States,111176217,1,2,2,4,1,3,1
United States,153158064,2,2,1,2,2,2,2
United States,153785471,1,1,1,4,1,1,1
United States,144575737,2,2,1,1,1,1,2
United States,208219362,2,2,1,1,1,2,3
United States,203826365,99,3,1,1,2,1,99
United States,206965130,1,3,1,1,1,1,3
United States,165827911,1,2,2,3,2,2,2
